"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PUMANQUE","MU237","9,50","2014"
"MUNICIPALIDAD DE QUINTA DE TILCOCO","MU256","95,50","2014"
"MUNICIPALIDAD DE RANCAGUA","MU260","91,90","2014"
"MUNICIPALIDAD DE REQUÍNOA","MU267","92,70","2014"
"MUNICIPALIDAD DE SAN FERNANDO","MU287",",00","2014"
"MUNICIPALIDAD DE SAN VICENTE DE TAGUA TAGUA","MU303","29,45","2014"
"MUNICIPALIDAD DE COCHRANE","MU050","97,50","2014"
"MUNICIPALIDAD DE COELEMU","MU052","52,50","2014"
"MUNICIPALIDAD DE COIHUECO","MU053","88,55","2014"
"MUNICIPALIDAD DE SAN FABIÁN","MU285","19,00","2014"
"MUNICIPALIDAD DE CORONEL","MU068","10,45","2014"
"MUNICIPALIDAD DE COYHAIQUE","MU070","90,12","2014"
"MUNICIPALIDAD DE SAN IGNACIO","MU289","10,45","2014"
"MUNICIPALIDAD DE PUTRE","MU244","52,50","2014"
"MUNICIPALIDAD DE RENGO","MU266","96,65","2014"
"MUNICIPALIDAD DE RÍO HURTADO","MU272","10,45","2014"
"MUNICIPALIDAD DE SALAMANCA","MU279","89,30","2014"
"MUNICIPALIDAD DE TEMUCO","MU315","60,35","2014"
"MUNICIPALIDAD DE TEODORO SCHMIDT","MU317","7,60","2014"
"MUNICIPALIDAD DE TOLTÉN","MU323","82,35","2014"
"MUNICIPALIDAD DE TRAIGUÉN","MU327","11,40","2014"
"MUNICIPALIDAD DE VICTORIA","MU334","72,20","2014"
"MUNICIPALIDAD DE VICUÑA","MU335","52,50","2014"
"MUNICIPALIDAD DE VILLARRICA","MU339","6,65","2014"
"MUNICIPALIDAD DE SANTA CRUZ","MU305","21,85","2014"
"MUNICIPALIDAD DE SAN NICOLÁS","MU295","91,45","2014"
"MUNICIPALIDAD DE CORRAL","MU069","52,85","2014"
"MUNICIPALIDAD DE FUTRONO","MU096","5,70","2014"
"MUNICIPALIDAD DE LA UNIÓN","MU127","18,05","2014"
"MUNICIPALIDAD DE LAGO RANCO","MU128","5,70","2014"
"MUNICIPALIDAD DE LLAY LLAY","MU143","12,35","2014"
"MUNICIPALIDAD DE LOS ANDES","MU152","17,10","2014"
"MUNICIPALIDAD DE LOTA","MU158","91,45","2014"
"MUNICIPALIDAD DE MULCHÉN","MU177","53,45","2014"
"MUNICIPALIDAD DE NACIMIENTO","MU178","47,50","2014"
"MUNICIPALIDAD DE NOGALES","MU183","8,55","2014"
"MUNICIPALIDAD DE OLMUÉ","MU190","100,00","2014"
"MUNICIPALIDAD DE PANQUEHUE","MU201","17,10","2014"
"MUNICIPALIDAD DE PAPUDO","MU202","92,40","2014"
"MUNICIPALIDAD DE PEMUCO","MU208","14,25","2014"
"MUNICIPALIDAD DE PENCO","MU210","100,00","2014"
"MUNICIPALIDAD DE PETORCA","MU215","8,55","2014"
"MUNICIPALIDAD DE SAN PEDRO DE LA PAZ","MU299","97,15","2014"
"MUNICIPALIDAD DE GUAITECAS","MU101","61,40","2014"
"MUNICIPALIDAD DE LAGO VERDE","MU129","47,50","2014"
"MUNICIPALIDAD DE SAN PEDRO DE ATACAMA","MU298","7,60","2014"
"MUNICIPALIDAD DE CONCÓN","MU063","74,88","2014"
"MUNICIPALIDAD DE SIERRA GORDA","MU310","49,17","2014"
"MUNICIPALIDAD DE TALTAL","MU314","47,50","2014"
"MUNICIPALIDAD DE TIERRA AMARILLA","MU318","4,75","2014"
"MUNICIPALIDAD DE TOCOPILLA","MU322","84,55","2014"
"MUNICIPALIDAD DE LANCO","MU133","14,25","2014"
"MUNICIPALIDAD DE MARIQUINA","MU168","18,05","2014"
"MUNICIPALIDAD DE PANGUIPULLI","MU200","23,75","2014"
"MUNICIPALIDAD DE RIO BUENO","MU270","16,15","2014"
"MUNICIPALIDAD DE VALDIVIA","MU330","17,10","2014"
"MUNICIPALIDAD DE MELIPEUCO","MU172","15,20","2014"
"MUNICIPALIDAD DE NUEVA IMPERIAL","MU184","66,03","2014"
"MUNICIPALIDAD DE PADRE LAS CASAS","MU194","15,20","2014"
"MUNICIPALIDAD DE PERQUENCO","MU214","5,70","2014"
"MUNICIPALIDAD DE YUNGAY","MU344","72,50","2014"
"MUNICIPALIDAD DE YUMBEL","MU343","98,10","2014"
"MUNICIPALIDAD DE TUCAPEL","MU329","12,35","2014"
"MUNICIPALIDAD DE TREHUACO","MU328","46,55","2014"
"MUNICIPALIDAD DE TORRES DEL PAINE","MU325","93,35","2014"
"MUNICIPALIDAD DE SAN ROSENDO","MU302","20,90","2014"
"MUNICIPALIDAD DE SANTA BÁRBARA","MU304","20,90","2014"
"MUNICIPALIDAD DE SANTA JUANA","MU306","18,05","2014"
"MUNICIPALIDAD DE TALCAHUANO","MU313","98,10","2014"
"MUNICIPALIDAD DE TIRÚA","MU321","18,05","2014"
"MUNICIPALIDAD DE TORTEL","MU326","63,90","2014"
"MUNICIPALIDAD DE VIÑA DEL MAR","MU340","85,15","2014"
"MUNICIPALIDAD DE ZAPALLAR","MU345","96,20","2014"
"MUNICIPALIDAD DE SAN FELIPE","MU286","11,40","2014"
"MUNICIPALIDAD DE PORTEZUELO","MU224","8,55","2014"
"MUNICIPALIDAD DE PUCHUNCAVÍ","MU229","73,52","2014"
"MUNICIPALIDAD DE PUERTO NATALES","MU234","68,00","2014"
"MUNICIPALIDAD DE RÍO VERDE","MU275","50,00","2014"
"MUNICIPALIDAD DE SAN GREGORIO","MU288","100,00","2014"
"MUNICIPALIDAD DE PENCAHUE","MU209","100,00","2014"
"MUNICIPALIDAD DE RAUCO","MU262","75,83","2014"
"MUNICIPALIDAD DE RETIRO","MU268","3,80","2014"
"MUNICIPALIDAD DE RÍO CLARO","MU271","13,30","2014"
"MUNICIPALIDAD DE ROMERAL","MU276","92,40","2014"
"MUNICIPALIDAD DE SAGRADA FAMILIA","MU278","100,00","2014"
"MUNICIPALIDAD DE SAN CLEMENTE","MU283","47,50","2014"
"MUNICIPALIDAD DE SAN JAVIER","MU290","47,50","2014"
"MUNICIPALIDAD DE SAN RAFAEL","MU300","95,25","2014"
"MUNICIPALIDAD DE TALCA","MU312","92,85","2014"
"MUNICIPALIDAD DE TENO","MU316","89,30","2014"
"MUNICIPALIDAD DE VICHUQUÉN","MU333","9,50","2014"
"MUNICIPALIDAD DE VILLA ALEGRE","MU337","52,50","2014"
"MUNICIPALIDAD DE YERBAS BUENAS","MU342","96,53","2014"
"MUNICIPALIDAD DE NINHUE","MU182","49,17","2014"
"MUNICIPALIDAD DE ÑIQUÉN","MU185","52,73","2014"
"MUNICIPALIDAD DE QUILLECO","MU251","19,95","2014"
"MUNICIPALIDAD DE QUIRIHUE","MU259","78,85","2014"
"MUNICIPALIDAD DE RÁNQUIL","MU261",",00","2014"
"MUNICIPALIDAD DE OLLAGÜE","MU189","47,50","2014"
"MUNICIPALIDAD DE CERRO NAVIA","MU035","92,99","2014"
"MUNICIPALIDAD DE VALLENAR","MU331","74,10","2014"
"MUNICIPALIDAD DE EL QUISCO","MU085","17,10","2014"
"MUNICIPALIDAD DE EL TABO","MU086","6,65","2014"
"MUNICIPALIDAD DE MELIPILLA","MU173","61,58","2014"
"MUNICIPALIDAD DE TIMAUKEL","MU320","16,15","2014"
"MUNICIPALIDAD DE TOME","MU324","71,62","2014"
"MUNICIPALIDAD DE QUILICURA","MU250","21,85","2014"
"MUNICIPALIDAD DE QUINCHAO","MU255","17,10","2014"
"MUNICIPALIDAD DE QUINTA NORMAL","MU257","100,00","2014"
"MUNICIPALIDAD DE RECOLETA","MU263","96,20","2014"
"MUNICIPALIDAD DE RENCA","MU265","68,65","2014"
"MUNICIPALIDAD DE RÍO NEGRO","MU274","36,10","2014"
"MUNICIPALIDAD DE SAN JOAQUÍN","MU291","100,00","2014"
"MUNICIPALIDAD DE SAN JOSÉ DE MAIPO","MU292","100,00","2014"
"MUNICIPALIDAD DE SAN JUAN DE LA COSTA","MU293","12,35","2014"
"MUNICIPALIDAD DE SAN PABLO","MU296","11,40","2014"
"MUNICIPALIDAD DE SAN PEDRO","MU297","11,40","2014"
"MUNICIPALIDAD DE TALAGANTE","MU311","19,95","2014"
"MUNICIPALIDAD DE SAN BERNARDO","MU281","95,25","2014"
