region,cut_com,commune,forms,news,search,webmap,streetmap,transport,socialmedia,email,phone,mobile,transac,followup,digital_certificate,citizen,payments,personalization,part
METROPOLITANA,13130,SAN MIGUEL,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0
METROPOLITANA,13505,SAN PEDRO,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
METROPOLITANA,13131,SAN RAMON,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
METROPOLITANA,13101,SANTIAGO,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
METROPOLITANA,13601,TALAGANTE,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13303,TILTIL,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
METROPOLITANA,13132,VITACURA,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
LIBERTADOR BERNARDO O'HIGGINS,6302,CHEPICA,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
LIBERTADOR BERNARDO O'HIGGINS,6303,CHIMBARONGO,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6102,CODEGUA,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6103,COINCO,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6104,COLTAUCO,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6105,DOÑIHUE,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6106,GRANEROS,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6202,LA ESTRELLA,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
