commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
TALAGANTE,METROPOLITANA,13601,https://www.munitalagante.cl/,09/11/2021,3:44 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,28,86
TILTIL,METROPOLITANA,13303,http://www.munitiltil.cl/,09/11/2021,3:49 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,12,34
VITACURA,METROPOLITANA,13132,https://www.vitacura.cl/,09/11/2021,3:53 PM,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,27,47
CHEPICA,LIBERTADOR BERNARDO O'HIGGINS,6302,https://www.municipalidadchepica.cl/,09/11/2021,4:00 PM,,,,,,,,,,,,,,,,,,,,
CHIMBARONGO,LIBERTADOR BERNARDO O'HIGGINS,6303,http://municipalidadchimbarongo.cl/,09/11/2021,4:01 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,11,39
CODEGUA,LIBERTADOR BERNARDO O'HIGGINS,6102,https://www.municipalidaddecodegua.cl/,09/11/2021,4:03 PM,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,31,72
COINCO,LIBERTADOR BERNARDO O'HIGGINS,6103,https://www.municoinco.cl/index.php,09/11/2021,4:06 PM,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,36,56
COLTAUCO,LIBERTADOR BERNARDO O'HIGGINS,6104,http://www.coltauco.cl/Nuevo/index.php,09/11/2021,4:10 PM,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,23,22
DOÑIHUE,LIBERTADOR BERNARDO O'HIGGINS,6105,http://www.mdonihue.cl/,09/11/2021,4:14 PM,,,,,,,,,,,,,,,,,,,,
GRANEROS,LIBERTADOR BERNARDO O'HIGGINS,6106,https://www.municipalidadgraneros.cl/,09/11/2021,4:15 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,15,58
LA ESTRELLA,LIBERTADOR BERNARDO O'HIGGINS,6202,https://www.munilaestrella.cl/new/,09/11/2021,4:17 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,24,69
LAS CABRAS,LIBERTADOR BERNARDO O'HIGGINS,6107,https://www.lascabrasmunicipalidad.cl/,09/11/2021,4:47 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,,
LITUECHE,LIBERTADOR BERNARDO O'HIGGINS,6203,https://www.litueche.cl/,09/11/2021,4:51 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,2,68
LOLOL,LIBERTADOR BERNARDO O'HIGGINS,6304,https://munilolol.cl/,09/11/2021,4:55 PM,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,73,94
MACHALI,LIBERTADOR BERNARDO O'HIGGINS,6108,https://www.machali.cl/,09/11/2021,4:57 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,11,35
MALLOA,LIBERTADOR BERNARDO O'HIGGINS,6109,https://www.munimalloa.cl/portal/,09/11/2021,5:00 PM,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,35,77
MARCHIGUE,LIBERTADOR BERNARDO O'HIGGINS,6204,https://www.marchigue.cl/Muni2.2/,09/11/2021,5:04 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,62,84
MOSTAZAL,LIBERTADOR BERNARDO O'HIGGINS,6110,https://www.mostazal.cl/home,09/11/2021,5:07 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,23,57
