cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
5404,PETORCA,2071249,649141,1051155,20.97,51.61,543,1,0,6.92,8180,10495,5723,4103
5405,ZAPALLAR,1260760,12049559,13896241,29.35,46.74,131,1,1,27.31,6160,7866,2326,5013
5501,QUILLOTA,7965524,3473393,6293159,29.57,47.85,426,1,1,318.91,73669,96310,12186,78331
5502,CALERA,5195588,2097857,3410864,,,,,,873.74,40465,53298,1886,48668
5503,HIJUELAS,2193952,1190984,1669075,29.85,56.72,391,1,0,70.88,14316,18924,6253,11735
5504,LA CRUZ,2167525,843954,1595083,30.38,39.24,252,1,1,314.92,18107,24564,2646,19452
5506,NOGALES,2748378,1016637,1604660,29.41,55.88,195,1,0,57.67,17651,23356,3341,18779
5601,SAN ANTONIO,9504114,5975882,9205133,24.83,52.38,2770,1,0,236.9,72985,95946,4781,86569
5602,ALGARROBO,,,,14.04,38.76,326,1,1,84.45,11771,14863,2918,10899
5603,CARTAGENA,10497628,776416,1923456,22.7,46.1,308,1,1,100.94,19020,24832,1892,20846
5604,EL QUISCO,12672903,967202,2128057,28.57,45.34,477,1,1,340.53,13751,17367,1088,14867
5605,EL TABO,10709017,619426,1456566,23.81,44.44,137,1,0,141.8,11299,14038,671,12615
5606,SANTO DOMINGO,1419376,11858723,12870534,35.29,46.47,152,1,1,21.83,8904,11703,4684,6216
5701,SAN FELIPE,6818248,3140532,5427615,26.5,41.5,654,1,1,442.54,61804,82312,7227,69617
5702,CATEMU,2231683,491618,674169,25,57.69,455,1,0,41.5,11374,15023,6185,7813
5703,LLAILLAY,2770429,733416,1423435,26.67,60,259,1,0,75.16,19759,26232,6636,17972
5704,PANQUEHUE,1472787,578800,857345,31.37,60.78,124,1,0,61.91,5716,7553,3467,3806
5705,PUTAENDO,2778324,318154,858284,35.82,52.24,279,,,11.85,13363,17471,10020,6734
5706,SANTA MARÍA,2375015,735649,1000111,20,40,289,1,1,97.29,12227,16150,5453,9788
5801,QUILPUÉ,13072863,5403075,9580738,27.48,49.34,1697,1,0,306.86,128811,164783,2112,149596
5802,LIMACHE,5434217,1544769,3086696,26.53,39.8,819,1,1,167.64,37546,49285,6952,39169
5803,OLMUÉ,2453425,1202710,1791886,26.47,51.47,542,1,1,81.66,14736,18946,5239,12277
5804,VILLA ALEMANA,12599609,2539161,5430907,,,,,,1409.39,104433,136711,1221,125327
6101,RANCAGUA,13796605,15238094,23319892,30.25,41.5,791,1,1,1007.66,198646,261992,7591,234183
6102,CODEGUA,1733023,579025,846469,,,218,1,1,48.48,10487,13914,5969,7019
6103,COINCO,1637470,424767,585204,41.46,41.46,110,1,1,79.11,6040,7753,3935,3424
6104,COLTAUCO,2874711,434462,822812,30.91,54.55,517,1,1,93.2,15902,20971,8386,11211
6105,DOÑIHUE,3035023,1130341,1461801,38.78,55.1,410,1,0,286.99,16810,22385,4463,16424
6106,GRANEROS,3233176,1416748,1811743,27.27,42.05,462,1,1,318.14,26468,35950,3616,29821
6107,LAS CABRAS,2177876,3252206,3769001,34.95,47.57,859,1,0,35.25,20334,26403,15062,9578
