"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE CURICÓ","MU078","35,57","2013"
"MUNICIPALIDAD DE VALPARAÍSO","MU332","59,77","2013"
"MUNICIPALIDAD DE TORTEL","MU326","4,82","2013"
"MUNICIPALIDAD DE LA CALERA","MU116","27,82","2013"
"MUNICIPALIDAD DE PUYEHUE","MU245","14,60","2013"
"MUNICIPALIDAD DE CALLE LARGA","MU023","95,49","2013"
"MUNICIPALIDAD DE LAS CABRAS","MU134","54,20","2013"
"MUNICIPALIDAD DE PETORCA","MU215","19,45","2013"
"MUNICIPALIDAD DE PEUMO","MU216","31,27","2013"
"MUNICIPALIDAD DE LO PRADO","MU146","68,77","2013"
"MUNICIPALIDAD DE LAMPA","MU132","69,84","2013"
"MUNICIPALIDAD DE ISLA DE MAIPO","MU113","51,09","2013"
"MUNICIPALIDAD DE VICUÑA","MU335","44,37","2013"
"MUNICIPALIDAD DE ANCUD","MU006","13,46","2013"
"MUNICIPALIDAD DE MARCHIHUE","MU165","37,39","2013"
"MUNICIPALIDAD DE RETIRO","MU268","15,10","2013"
"MUNICIPALIDAD DE ANDACOLLO","MU007","5,50","2013"
"MUNICIPALIDAD DE LOS ALAMOS","MU151","58,57","2013"
"MUNICIPALIDAD DE OLMUÉ","MU190","36,36","2013"
"MUNICIPALIDAD DE SAN FELIPE","MU286","74,35","2013"
"MUNICIPALIDAD DE NINHUE","MU182","3,93","2013"
"MUNICIPALIDAD DE LA UNIÓN","MU127","79,28","2013"
"MUNICIPALIDAD DE LAGO VERDE","MU129","3,57","2013"
"MUNICIPALIDAD DE TALCAHUANO","MU313","79,61","2013"
"MUNICIPALIDAD DE CONTULMO","MU065","97,16","2013"
"MUNICIPALIDAD DE LUMACO","MU159","16,89","2013"
"MUNICIPALIDAD DE PUCHUNCAVÍ","MU229","93,84","2013"
"MUNICIPALIDAD DE LA HIGUERA","MU122","61,93","2013"
"MUNICIPALIDAD DE CORRAL","MU069","59,70","2013"
"MUNICIPALIDAD DE CORONEL","MU068","71,42","2013"
"MUNICIPALIDAD DE CHILLÁN VIEJO","MU043","64,75","2013"
"MUNICIPALIDAD DE MULCHÉN","MU177","18,29","2013"
"MUNICIPALIDAD DE QUEILÉN","MU246","23,79","2013"
"MUNICIPALIDAD DE SANTA BÁRBARA","MU304","41,93","2013"
"MUNICIPALIDAD DE CERRO NAVIA","MU035","76,61","2013"
"MUNICIPALIDAD DE VILLA ALEGRE","MU337","37,23","2013"
"MUNICIPALIDAD DE MALLOA","MU164","8,25","2013"
"MUNICIPALIDAD DE RÍO CLARO","MU271","26,32","2013"
"MUNICIPALIDAD DE MONTE PATRIA","MU175","52,52","2013"
"MUNICIPALIDAD DE CHANCO","MU037","13,97","2013"
"MUNICIPALIDAD DE PUERTO OCTAY","MU235","8,42","2013"
"MUNICIPALIDAD DE LONGAVÍ","MU149","77,07","2013"
