"code","municipality","year","variable","value"
10304,"PUYEHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2519343000
10305,"RÍO NEGRO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2404940000
10306,"SAN JUAN DE LA COSTA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2760151000
10307,"SAN PABLO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2122094000
10401,"CHAITÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2387883000
10402,"FUTALEUFÚ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1894324000
10403,"HUALAIHUÉ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1934045000
10404,"PALENA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1262209000
11101,"COYHAIQUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",10745840000
11102,"LAGO VERDE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1386064000
11201,"AYSÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8421038000
11202,"CISNES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2716711000
11203,"GUAITECAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1544023000
11301,"COCHRANE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2408755000
11302,"O´HIGGINS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1522217000
11303,"TORTEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1795302000
11401,"CHILE CHICO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2654421000
11402,"RÍO IBÁÑEZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1370874000
12101,"PUNTA ARENAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",23415553000
12102,"LAGUNA BLANCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1347530000
12103,"RÍO VERDE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1769910000
12104,"SAN GREGORIO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1912195000
12201,"CABO DE HORNOS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2522683000
12301,"PORVENIR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2098919000
12302,"PRIMAVERA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1614685000
12303,"TIMAUKEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1360846000
12401,"NATALES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5837023000
12402,"TORRES DEL PAINE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1406157000
13101,"SANTIAGO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",149167012000
13102,"CERRILLOS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",21721679000
13103,"CERRO NAVIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",25650164000
13104,"CONCHALÍ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",32029292000
13105,"EL BOSQUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",22803628000
13106,"ESTACIÓN CENTRAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",25938791000
13107,"HUECHURABA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",33497946000
13108,"INDEPENDENCIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",17851812000
13109,"LA CISTERNA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",15450128000
13110,"LA FLORIDA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",106684953000
13111,"LA GRANJA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",17926702000
13112,"LA PINTANA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",23827847000
13113,"LA REINA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",29006583000
13114,"LAS CONDES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",336129700000
13115,"LO BARNECHEA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",88955419000
