"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std"
"197",2016,10,"Los Lagos",101,"Llanquihue",10103,"Cochamó",3981.1,NA,NA
"198",2016,10,"Los Lagos",101,"Llanquihue",10104,"Fresia",1275.62,NA,NA
"199",2016,10,"Los Lagos",101,"Llanquihue",10105,"Frutillar",828.25,NA,NA
"200",2016,10,"Los Lagos",101,"Llanquihue",10106,"Los Muermos",1229.62,NA,NA
"201",2016,10,"Los Lagos",101,"Llanquihue",10107,"Llanquihue",433.02,NA,NA
"202",2016,10,"Los Lagos",101,"Llanquihue",10108,"Maullín",822.95,NA,NA
"203",2016,10,"Los Lagos",101,"Llanquihue",10109,"Puerto Varas",4028.8,NA,NA
"204",2016,10,"Los Lagos",102,"Chiloé",10201,"Castro",471.38,NA,NA
"205",2016,10,"Los Lagos",102,"Chiloé",10202,"Ancud",1754.07,NA,NA
"206",2016,10,"Los Lagos",102,"Chiloé",10203,"Chonchi",1361.08,NA,NA
"207",2016,10,"Los Lagos",102,"Chiloé",10204,"Curaco de Vélez",79.85,NA,NA
"208",2016,10,"Los Lagos",102,"Chiloé",10205,"Dalcahue",1229.21,NA,NA
"209",2016,10,"Los Lagos",102,"Chiloé",10206,"Puqueldón",96.58,NA,NA
"210",2016,10,"Los Lagos",102,"Chiloé",10207,"Queilén",330.88,NA,NA
"211",2016,10,"Los Lagos",102,"Chiloé",10208,"Quellón",3360.3,NA,NA
"212",2016,10,"Los Lagos",102,"Chiloé",10209,"Quemchi",438.3,NA,NA
"213",2016,10,"Los Lagos",102,"Chiloé",10210,"Quinchao",158.73,NA,NA
"214",2016,10,"Los Lagos",103,"Osorno",10301,"Osorno",954.57,NA,NA
"215",2016,10,"Los Lagos",103,"Osorno",10302,"Puerto Octay",1793.82,NA,NA
"216",2016,10,"Los Lagos",103,"Osorno",10303,"Purranque",1451.58,NA,NA
"217",2016,10,"Los Lagos",103,"Osorno",10304,"Puyehue",1635.28,NA,NA
"218",2016,10,"Los Lagos",103,"Osorno",10305,"Río Negro",1281.02,NA,NA
"219",2016,10,"Los Lagos",103,"Osorno",10306,"San Juan de la Costa",1506.02,NA,NA
"220",2016,10,"Los Lagos",103,"Osorno",10307,"San Pablo",629.94,NA,NA
"221",2016,10,"Los Lagos",104,"Palena",10401,"Chaitén",8256.01,NA,NA
"222",2016,10,"Los Lagos",104,"Palena",10402,"Futaleufú",1236.22,NA,NA
"223",2016,10,"Los Lagos",104,"Palena",10403,"Hualaihué",2834.53,NA,NA
"224",2016,10,"Los Lagos",104,"Palena",10404,"Palena",2656.01,NA,NA
"225",2016,11,"Aysén del General Carlos Ibáñez del Campo",111,"Coihaique",11101,"Coihaique",7280.46,NA,NA
"226",2016,11,"Aysén del General Carlos Ibáñez del Campo",111,"Coihaique",11102,"Lago Verde",5440.42,NA,NA
"227",2016,11,"Aysén del General Carlos Ibáñez del Campo",112,"Aisén",11201,"Aisén",29879.3,NA,NA
"228",2016,11,"Aysén del General Carlos Ibáñez del Campo",112,"Aisén",11202,"Cisnes",15418.3,NA,NA
"229",2016,11,"Aysén del General Carlos Ibáñez del Campo",112,"Aisén",11203,"Guaitecas",631.38,NA,NA
"230",2016,11,"Aysén del General Carlos Ibáñez del Campo",113,"Capitán Prat",11301,"Cochrane",8629.21,NA,NA
"231",2016,11,"Aysén del General Carlos Ibáñez del Campo",113,"Capitán Prat",11302,"O'Higgins",7781.76,NA,NA
"232",2016,11,"Aysén del General Carlos Ibáñez del Campo",113,"Capitán Prat",11303,"Tortel",19977.3,NA,NA
"233",2016,11,"Aysén del General Carlos Ibáñez del Campo",114,"General Carrera",11401,"Chile Chico",5739.01,NA,NA
"234",2016,11,"Aysén del General Carlos Ibáñez del Campo",114,"General Carrera",11402,"Río Ibáñez",6019.41,NA,NA
"235",2016,12,"Magallanes y de la Antártica Chilena",121,"Magallanes",12101,"Punta Arenas",17771.4,NA,NA
"236",2016,12,"Magallanes y de la Antártica Chilena",121,"Magallanes",12102,"Laguna Blanca",3567.32,NA,NA
"237",2016,12,"Magallanes y de la Antártica Chilena",121,"Magallanes",12104,"San Gregorio",6706.74,NA,NA
"238",2016,12,"Magallanes y de la Antártica Chilena",122,"Antártica Chilena",12201,"Cabo de Hornos",15720.3,NA,NA
"239",2016,12,"Magallanes y de la Antártica Chilena",123,"Tierra del Fuego",12301,"Porvenir",7457.05,NA,NA
"240",2016,12,"Magallanes y de la Antártica Chilena",123,"Tierra del Fuego",12302,"Primavera",3946.46,NA,NA
"241",2016,12,"Magallanes y de la Antártica Chilena",123,"Tierra del Fuego",12303,"Timaukel",11011.8,NA,NA
"242",2016,12,"Magallanes y de la Antártica Chilena",124,"Última Esperanza",12401,"Natales",48938.2,NA,NA
"243",2016,12,"Magallanes y de la Antártica Chilena",124,"Última Esperanza",12402,"Torres del Paine",6215.16,NA,NA
"244",2016,13,"Metropolitana de Santiago",131,"Santiago",13115,"Lo Barnechea",1023.61,7.25,8.03378378378378
"245",2016,13,"Metropolitana de Santiago",132,"Cordillera",13202,"Pirque",444.71,4,4.43243243243243
"246",2016,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",4982.37,3.25,3.60135135135135
"247",2016,13,"Metropolitana de Santiago",134,"Maipo",13404,"Paine",677.52,4,4.43243243243243
"248",2016,13,"Metropolitana de Santiago",135,"Melipilla",13501,"Melipilla",1352.65,4.5,4.98648648648649
"249",2016,13,"Metropolitana de Santiago",135,"Melipilla",13502,"Alhué",844.43,4,4.43243243243243
"250",2016,13,"Metropolitana de Santiago",135,"Melipilla",13503,"Curacaví",694.1,5.25,5.81756756756757
"251",2016,13,"Metropolitana de Santiago",135,"Melipilla",13504,"María Pinto",394.3,4.5,4.98648648648649
"252",2016,13,"Metropolitana de Santiago",135,"Melipilla",13505,"San Pedro",793.11,1.25,1.38513513513514
"253",2016,13,"Metropolitana de Santiago",136,"Talagante",13603,"Isla de Maipo",189.62,5,5.54054054054054
"254",2016,14,"Los Ríos",141,"Valdivia",14101,"Valdivia",1018.32,NA,NA
"255",2016,14,"Los Ríos",141,"Valdivia",14102,"Corral",729.42,NA,NA
"256",2016,14,"Los Ríos",141,"Valdivia",14103,"Lanco",533.04,NA,NA
"257",2016,14,"Los Ríos",141,"Valdivia",14104,"Los Lagos",1788.82,NA,NA
"258",2016,14,"Los Ríos",141,"Valdivia",14105,"Máfil",579.15,NA,NA
"259",2016,14,"Los Ríos",141,"Valdivia",14106,"Mariquina",1319.22,NA,NA
"260",2016,14,"Los Ríos",141,"Valdivia",14107,"Paillaco",901.57,NA,NA
"261",2016,14,"Los Ríos",141,"Valdivia",14108,"Panguipulli",3297.47,NA,NA
"262",2016,14,"Los Ríos",142,"Ranco",14201,"La Unión",2131.24,NA,NA
"263",2016,14,"Los Ríos",142,"Ranco",14202,"Futrono",2090.51,NA,NA
"264",2016,14,"Los Ríos",142,"Ranco",14203,"Lago Ranco",1763.14,NA,NA
"265",2016,14,"Los Ríos",142,"Ranco",14204,"Río Bueno",2172.28,NA,NA
"266",2016,15,"Arica y Parinacota",151,"Arica",15101,"Arica",4799.66,NA,NA
"267",2016,15,"Arica y Parinacota",151,"Arica",15102,"Camarones",3922.22,NA,NA
"268",2016,15,"Arica y Parinacota",152,"Parinacota",15201,"Putre",5885.18,NA,NA
"269",2016,15,"Arica y Parinacota",152,"Parinacota",15202,"General Lagos",2257.22,NA,NA
"270",2016,8,"Biobío",84,"Ñuble",8401,"Chillán",477.58,4.5,4.98648648648649
"271",2016,8,"Biobío",84,"Ñuble",8402,"Bulnes",426.4,2,2.21621621621622
"272",2016,8,"Biobío",84,"Ñuble",8407,"El Carmen",666.04,3.5,3.87837837837838
"273",2016,8,"Biobío",84,"Ñuble",8410,"Pemuco",563.26,3.75,4.15540540540541
"274",2016,8,"Biobío",84,"Ñuble",8411,"Pinto",1102.7,3.5,3.87837837837838
"275",2016,8,"Biobío",84,"Ñuble",8413,"Quillón",406.52,3,3.32432432432432
"276",2016,8,"Biobío",84,"Ñuble",8418,"San Ignacio",363.25,3.5,3.87837837837838
"277",2016,8,"Biobío",84,"Ñuble",8421,"Yungay",824.72,3.25,3.60135135135135
"278",2016,8,"Biobío",84,"Ñuble",8414,"Quirihue",589.85,3.25,3.60135135135135
"279",2016,8,"Biobío",84,"Ñuble",8403,"Cobquecura",569.21,0.25,0.277027027027027
