commune,cut,sae_2020,lower_sae_2020,upper_sae_2020
Puerto Octay,10302,0.138329188,0.100796242,0.175862134
Purranque,10303,0.115504383,0.084522749,0.146486017
Puyehue,10304,0.146746555,0.112519888,0.180973222
Río Negro,10305,0.133202197,0.097848996,0.168555398
San Juan De La Costa,10306,0.222494826,0.173620318,0.271369334
San Pablo,10307,0.122719742,0.090140555,0.155298929
Chaitén,10401,0.102606487,0.066436898,0.138776076
Futaleufú,10402,0.134830239,0.084920297,0.184740182
Hualaihué,10403,0.128542817,0.093646156,0.163439479
Palena,10404,0.129200813,0.089158471,0.169243155
Coyhaique,11101,0.058495528,0.048942968,0.068048087
Lago Verde,11102,0.06079638,0.030161992,0.091430767
Aysén,11201,0.0692517,0.055801104,0.082702297
Cisnes,11202,0.082855683,0.049653777,0.116057588
Guaitecas,11203,0.073691733,0.040049444,0.107334022
Cochrane,11301,0.098590767,0.057197736,0.139983798
O’higgins,11302,0.014093183,0,0.032290899
Tortel,11303,0.059398249,0.018467811,0.100328687
Chile Chico,11401,0.063317749,0.032363487,0.094272011
Río Ibáñez,11402,0.146518917,0.083365352,0.209672481
Punta Arenas,12101,0.053675195,0.044791447,0.062558942
Laguna Blanca,12102,0.049315016,0.010624655,0.088005376
Río Verde,12103,0.131345228,0.071899083,0.190791373
San Gregorio,12104,0.077847603,0.02754824,0.128146967
Cabo De Hornos,12201,0.031141492,0,0.062368743
Porvenir,12301,0.083290229,0.038583415,0.127997042
Primavera,12302,0.084901754,0.039501483,0.130302024
Timaukel,12303,0.051994959,0.00927872,0.094711198
Natales,12401,0.065075978,0.042328609,0.087823346
Torres Del Paine,12402,0.068413834,0.0149552,0.121872468
Valdivia,14101,0.097956229,0.082679916,0.113232541
Corral,14102,0.154285539,0.115138954,0.193432125
Lanco,14103,0.142597232,0.108692847,0.176501617
Los Lagos,14104,0.14532084,0.113920641,0.176721039
Máfil,14105,0.155047141,0.122117026,0.187977255
Mariquina,14106,0.148098515,0.113461179,0.182735852
Paillaco,14107,0.147645044,0.116512702,0.178777386
Panguipulli,14108,0.140723495,0.111017695,0.170429294
La Unión,14201,0.125007368,0.099222676,0.15079206
Futrono,14202,0.158675724,0.119867418,0.19748403
Lago Ranco,14203,0.135933412,0.099840473,0.172026351
Río Bueno,14204,0.135689981,0.108554691,0.162825271
