"CUT_REG","REGION","CUT_PROV","PROVINCIA","CUT_COM","COMUNA","SUPERFICIE"
13,"Metropolitana de Santiago","132","Cordillera","13203","San José de Maipo",4982.37
13,"Metropolitana de Santiago","134","Maipo","13404","Paine",677.52
13,"Metropolitana de Santiago","135","Melipilla","13501","Melipilla",1352.65
13,"Metropolitana de Santiago","135","Melipilla","13502","Alhué",844.43
13,"Metropolitana de Santiago","135","Melipilla","13503","Curacaví",694.1
13,"Metropolitana de Santiago","135","Melipilla","13504","María Pinto",394.3
13,"Metropolitana de Santiago","135","Melipilla","13505","San Pedro",793.11
13,"Metropolitana de Santiago","136","Talagante","13603","Isla de Maipo",189.62
14,"Los Ríos","141","Valdivia","14101","Valdivia",1018.32
14,"Los Ríos","141","Valdivia","14102","Corral",729.42
14,"Los Ríos","141","Valdivia","14103","Lanco",533.04
14,"Los Ríos","141","Valdivia","14104","Los Lagos",1788.82
14,"Los Ríos","141","Valdivia","14105","Máfil",579.15
14,"Los Ríos","141","Valdivia","14106","Mariquina",1319.22
14,"Los Ríos","141","Valdivia","14107","Paillaco",901.57
14,"Los Ríos","141","Valdivia","14108","Panguipulli",3297.47
14,"Los Ríos","142","Ranco","14201","La Unión",2131.24
14,"Los Ríos","142","Ranco","14202","Futrono",2090.51
14,"Los Ríos","142","Ranco","14203","Lago Ranco",1763.14
14,"Los Ríos","142","Ranco","14204","Río Bueno",2172.28
15,"Arica y Parinacota","151","Arica","15101","Arica",4799.66
15,"Arica y Parinacota","151","Arica","15102","Camarones",3922.22
15,"Arica y Parinacota","152","Parinacota","15201","Putre",5885.18
15,"Arica y Parinacota","152","Parinacota","15202","General Lagos",2257.22
16,"Ñuble","161","Diguillín","16101","Chillán",477.58
16,"Ñuble","161","Diguillín","16102","Bulnes",426.4
16,"Ñuble","161","Diguillín","16104","El Carmen",666.04
16,"Ñuble","161","Diguillín","16105","Pemuco",563.26
16,"Ñuble","161","Diguillín","16106","Pinto",1102.7
16,"Ñuble","161","Diguillín","16107","Quillón",406.52
16,"Ñuble","161","Diguillín","16108","San Ignacio",363.25
16,"Ñuble","161","Diguillín","16109","Yungay",824.72
16,"Ñuble","162","Itata","16201","Quirihue",589.85
16,"Ñuble","162","Itata","16202","Cobquecura",569.21
16,"Ñuble","162","Itata","16203","Coelemu",342.32
16,"Ñuble","162","Itata","16204","Ninhue",403.19
16,"Ñuble","162","Itata","16205","Portezuelo",289.24
16,"Ñuble","162","Itata","16206","Ranquil",247.42
16,"Ñuble","162","Itata","16207","Treguaco",313
16,"Ñuble","163","Punilla","16301","San Carlos",877.81
16,"Ñuble","163","Punilla","16302","Coihueco",1771.65
16,"Ñuble","163","Punilla","16303","Ñiquén",492.34
16,"Ñuble","163","Punilla","16304","San Fabián",1541.59
16,"Ñuble","163","Punilla","16305","San Nicolás",565.94
13,"Metropolitana de Santiago","133","Chacabuco","13303","Tiltil",654.65
13,"Metropolitana de Santiago","133","Chacabuco","13301","Colina",970.86
13,"Metropolitana de Santiago","133","Chacabuco","13302","Lampa",449.52
13,"Metropolitana de Santiago","131","Santiago","13125","Quilicura",57.32
13,"Metropolitana de Santiago","131","Santiago","13124","Pudahuel",198.57
13,"Metropolitana de Santiago","131","Santiago","13103","Cerro Navia",11.05
